"airline","origin","passenger_count","quartile"
"AA","MFE",82094,1
"AA","SYR",79753,1
"AA","DAY",72324,1
"AA","JAC",64008,1
"AA","CVG",63718,1
"AA","RIC",271104,2
"AA","CLE",259934,2
"AA","RNO",259377,2
"AA","PVD",257974,2
"AA","ABQ",236979,2
"AA","STL",809001,3
"AA","MSY",797083,3
"AA","IAH",787977,3
"AA","SAT",785652,3
"AA","BWI",739793,3
"AA","DFW",19122378,4
"AA","CLT",12579738,4
"AA","ORD",8673506,4
"AA","PHX",7667636,4
"AA","MIA",7006477,4
"DL","AVL",55864,1
"DL","FAI",55458,1
"DL","FCA",50454,1
"DL","FAY",48794,1
"DL","COS",48750,1
"DL","HOU",186053,2
"DL","SYR",180200,2
"DL","ROC",172026,2
"DL","ALB",170685,2
"DL","BZN",169781,2
"DL","MEM",545341,3
"DL","BDL",531307,3
"DL","SAT",503074,3
"DL","SNA",471745,3
"DL","CHS",470563,3
"DL","ATL",32330835,4
"DL","MSP",8921254,4
"DL","DTW",7223633,4
"DL","SLC",5781464,4
"DL","LAX",4796599,4
"UA","STL",52378,1
"UA","OKC",52330,1
"UA","FSD",50193,1
"UA","CID",48218,1
"UA","TUS",47276,1
"UA","DSM",122388,2
"UA","MKE",117115,2
"UA","CMH",115570,2
"UA","PSP",114633,2
"UA","JAC",114027,2
"UA","MSP",499582,3
"UA","BWI",432829,3
"UA","SMF",396081,3
"UA","RDU",386694,3
"UA","OGG",381528,3
"UA","ORD",10380444,4
"UA","DEN",8707916,4
"UA","SFO",8446273,4
"UA","IAH",7738335,4
"UA","EWR",7646320,4
"WN","CLT",294618,1
"WN","MAF",289159,1
"WN","IAD",285170,1
"WN","LIT",273286,1
"WN","GRR",253213,1
"WN","BDL",806437,2
"WN","OMA",805378,2
"WN","BUF",782711,2
"WN","EWR",777000,2
"WN","CLE",736783,2
"WN","SAT",1854601,3
"WN","SFO",1838188,3
"WN","BUR",1824559,3
"WN","DCA",1756480,3
"WN","PDX",1696327,3
"WN","MDW",10304429,4
"WN","LAS",9073388,4
"WN","DEN",9066751,4
"WN","BWI",8911299,4
"WN","PHX",7502990,4
